Year,Yearly Cumulative Return,Sharpe Ratio
2012,0.20878290845758962,2.4807488408403437
2013,0.16812112497130238,3.0559509818157005
2014,0.20295407593346027,3.194112191642448
2015,0.1896314263706671,2.773343846024414
2016,0.19287992976144297,2.375914818409496
2017,0.16463087027389034,3.891067344544641
2018,0.1944261921445909,3.3383419484408328
2019,0.16433178142986904,2.619153080405186
2020,0.38688637741758125,1.7287080411886657
2021,0.2349042618974817,3.321969338232158
2022,0.3491873297170427,2.495329753513263
2023,0.2294085686698515,3.003096873035148
2024,0.2326269697329182,3.6479561367571174
